LAMMPS (23 Jun 2022 - Update 4)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 4.04525 4.04525 4.04525
Created orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  1 by 1 by 2 MPI processor grid
Created 32 atoms
  using lattice units in orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  create_atoms CPU = 0.000 seconds
Reading eam/alloy potential file ./Al_mm.eam.fs with DATE: 2007-06-11
Temp                     Press                     Vol                     Etotal
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.5
  ghost atom cutoff = 8.5
  binsize = 4.25, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.596 | 3.596 | 3.596 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng        c_mytemp      c_mypress        Volume    
    124000   124            678.8621      -105.96363      2.7202442     -103.24338      678.8621       262.13383      554.55603    
    125000   125            730.09664     -106.16147      2.9255443     -103.23593      730.09664      846.3013       553.02757    
    126000   126            709.4042      -106.05007      2.8426284     -103.20744      709.4042      -611.59662      555.75773    
    127000   127            577.17563     -105.54831      2.31278       -103.23553      577.17563      5871.1446      553.6561     
    128000   128            669.58274     -105.87835      2.6830612     -103.19529      669.58274     -835.2476       555.76578    
    129000   129            803.95955     -106.4072       3.2215178     -103.18568      803.95955     -216.46577      552.55316    
    130000   130            583.75361     -105.46622      2.3391384     -103.12708      583.75361      3078.7943      554.75979    
    131000   131            696.66527     -106.01036      2.7915827     -103.21878      696.66527     -4390.978       557.51724    
    132000   132            671.23964     -105.81183      2.6897005     -103.12213      671.23964     -1705.5865      557.30719    
    133000   133            684.97318     -105.97435      2.7447317     -103.22961      684.97318     -1080.2731      555.23699    
    134000   134            697.28737     -106.04032      2.7940755     -103.24625      697.28737     -734.01731      555.67505    
    135000   135            747.90371     -106.21959      2.9968984     -103.22269      747.90371     -881.62606      554.10023    
    136000   136            688.62889     -105.93197      2.7593804     -103.17259      688.62889     -287.79322      556.52217    
    137000   137            712.93886     -106.07741      2.856792      -103.22061      712.93886      5187.702       552.09085    
    138000   138            726.96721     -106.134        2.9130045     -103.221        726.96721     -645.53388      554.73174    
    139000   139            600.5009      -105.65201      2.4062459     -103.24576      600.5009      -3732.9476      557.53992    
    140000   140            630.19937     -105.69398      2.5252495     -103.16873      630.19937     -214.48256      556.40302    
    141000   141            722.00073     -106.09228      2.8931035     -103.19917      722.00073      1595.812       553.12998    
    142000   142            774.23973     -106.29171      3.1024285     -103.18928      774.23973     -5416.7414      555.97504    
    143000   143            594.84732     -105.60734      2.3835916     -103.22375      594.84732      327.05942      556.6517     
    144000   144            812.82458     -106.35283      3.2570405     -103.09579      812.82458     -2055.1287      554.45217    
    145000   145            606.65785     -105.59073      2.4309171     -103.15981      606.65785      4726.1326      553.46274    
    146000   146            637.87163     -105.75108      2.5559928     -103.19509      637.87163     -2044.9045      556.09656    
    147000   147            793.11467     -106.37716      3.1780616     -103.1991       793.11467     -9140.7284      558.4075     
    148000   148            725.83738     -106.17414      2.9084772     -103.26567      725.83738      1445.8509      553.605      
    149000   149            678.40314     -105.95838      2.7184051     -103.23997      678.40314      1024.6327      553.76931    
    150000   150            692.23687     -105.88339      2.7738378     -103.10956      692.23687      1865.4502      555.60905    
    151000   151            766.05519     -106.30159      3.0696326     -103.23196      766.05519     -2823.7924      555.06681    
    152000   152            630.38518     -105.74671      2.5259941     -103.22071      630.38518      5367.9734      553.78902    
    153000   153            685.63973     -105.97067      2.7474026     -103.22327      685.63973     -77.872249      555.0325     
    154000   154            737.8773      -106.17176      2.9567219     -103.21504      737.8773       677.28127      553.94573    
    155000   155            644.09683     -105.79478      2.5809375     -103.21385      644.09683     -3295.7967      556.63028    
    156000   156            637.34052     -105.80042      2.5538646     -103.24656      637.34052      3834.2203      552.92375    
    157000   157            583.62446     -105.55334      2.3386209     -103.21472      583.62446      6165.5124      553.61055    
    158000   158            699.31512     -105.93383      2.8022008     -103.13163      699.31512     -1951.351       555.9293     
    159000   159            631.99642     -105.73292      2.5324504     -103.20047      631.99642      4193.3077      553.77374    
    160000   160            767.01254     -106.26254      3.0734687     -103.18907      767.01254     -3163.7013      556.35448    
    161000   161            760.91965     -106.19452      3.0490541     -103.14547      760.91965      4104.0206      552.98833    
    162000   162            712.9504      -106.05566      2.8568382     -103.19882      712.9504      -2887.5508      556.85288    
    163000   163            770.8998      -106.298        3.0890452     -103.20895      770.8998      -6132.5299      556.41556    
    164000   164            584.19654     -105.63728      2.3409132     -103.29637      584.19654      4118.1658      554.28346    
    165000   165            766.67031     -106.28152      3.0720974     -103.20942      766.67031      98.738865      553.48479    
    166000   166            698.8795      -106.03271      2.8004552     -103.23226      698.8795      -1183.3351      554.87235    
    167000   167            770.66932     -106.25618      3.0881217     -103.16806      770.66932     -4656.4771      556.24893    
    168000   168            843.40131     -106.57023      3.3795635     -103.19066      843.40131     -9683.9337      558.63174    
    169000   169            748.00601     -106.17295      2.9973083     -103.17564      748.00601     -1852.5955      556.89543    
    170000   170            630.01593     -105.84954      2.5245145     -103.32502      630.01593      2876.2416      555.05487    
    171000   171            598.60578     -105.5595       2.398652      -103.16085      598.60578      1474.0423      558.30379    
    172000   172            656.5438      -105.86448      2.6308134     -103.23366      656.5438      -1216.3155      556.83677    
    173000   173            688.52601     -105.97894      2.7589681     -103.21998      688.52601     -2060.0894      555.96944    
    174000   174            633.33095     -105.72333      2.537798      -103.18553      633.33095      3962.7677      552.61685    
    175000   175            647.2275      -105.83035      2.5934823     -103.23687      647.2275       2944.4389      552.94674    
    176000   176            634.8599      -105.78139      2.5439245     -103.23746      634.8599       2242.8668      553.83234    
    177000   177            629.22091     -105.76176      2.5213288     -103.24043      629.22091     -64.651041      554.86762    
    178000   178            815.18015     -106.45132      3.2664794     -103.18484      815.18015      3464.7579      550.85516    
    179000   179            624.43579     -105.84015      2.5021545     -103.33799      624.43579      1353.2112      554.15054    
    180000   180            746.25192     -106.21565      2.9902796     -103.22537      746.25192     -2217.6312      553.80661    
    181000   181            670.48516     -105.95273      2.6866773     -103.26605      670.48516      1285.952       554.0105     
    182000   182            710.54965     -106.05966      2.8472183     -103.21245      710.54965      3774.0138      552.95705    
    183000   183            704.97585     -106.08712      2.8248837     -103.26224      704.97585     -120.05649      554.90571    
    184000   184            629.57064     -105.73839      2.5227301     -103.21566      629.57064      1134.963       554.39873    
    185000   185            665.79762     -105.81538      2.667894      -103.14749      665.79762      4372.9988      553.75688    
    186000   186            736.26019     -106.0933       2.9502421     -103.14306      736.26019      483.83026      553.9038     
    187000   187            666.37363     -105.80001      2.6702021     -103.12981      666.37363      1031.323       553.74491    
    188000   188            856.00083     -106.56392      3.4300505     -103.13387      856.00083     -7237.4782      557.24182    
    189000   189            690.09764     -105.87354      2.7652658     -103.10827      690.09764      954.33178      556.14829    
    190000   190            574.02987     -105.55145      2.3001747     -103.25127      574.02987      5497.7838      552.57487    
    191000   191            707.9598      -106.01859      2.8368406     -103.18175      707.9598      -4402.0211      556.8473     
    192000   192            788.95197     -106.34085      3.1613814     -103.17947      788.95197      1360.2894      552.42914    
    193000   193            783.58402     -106.37311      3.1398717     -103.23324      783.58402      1026.1676      552.47697    
    194000   194            701.22102     -106.07421      2.8098378     -103.26437      701.22102      1425.7367      553.06767    
    195000   195            700.7281      -106.04996      2.8078627     -103.2421       700.7281       960.77034      554.95287    
    196000   196            740.57935     -106.1936       2.9675492     -103.22605      740.57935      1218.1105      552.66029    
    197000   197            760.73385     -106.1685       3.0483096     -103.12019      760.73385     -1046.5342      555.40908    
    198000   198            716.30859     -106.08843      2.8702947     -103.21813      716.30859     -1633.7165      554.22642    
    199000   199            632.3568      -105.73319      2.5338945     -103.1993       632.3568       6094.9131      552.86728    
    200000   200            692.51641     -106.0017       2.7749579     -103.22674      692.51641      827.84737      553.44875    
    201000   201            813.22616     -106.40338      3.2586497     -103.14473      813.22616     -5406.014       557.65631    
    202000   202            718.20635     -106.06414      2.8778991     -103.18624      718.20635      3939.6147      553.10834    
    203000   203            738.31794     -106.17459      2.9584876     -103.21611      738.31794     -1650.0075      554.31246    
    204000   204            535.53161     -105.37111      2.1459097     -103.2252       535.53161      5871.4382      553.39087    
    205000   205            733.67515     -106.18281      2.9398836     -103.24293      733.67515     -1984.2782      554.63728    
    206000   206            757.30459     -106.25721      3.0345683     -103.22265      757.30459     -467.39291      553.73823    
    207000   207            622.10805     -105.67838      2.4928271     -103.18555      622.10805      2303.4564      554.78392    
    208000   208            776.06812     -106.28823      3.109755      -103.17847      776.06812      1371.8334      553.19355    
    209000   209            694.57542     -106.01189      2.7832085     -103.22868      694.57542     -1478.0421      555.28816    
    210000   210            611.10909     -105.72172      2.4487535     -103.27296      611.10909      7396.1941      552.58113    
    211000   211            606.7562      -105.65367      2.4313112     -103.22236      606.7562       5373.4037      551.93014    
    212000   212            664.64754     -105.92407      2.6632856     -103.26079      664.64754      4386.4963      552.04532    
    213000   213            711.22505     -106.09898      2.8499246     -103.24905      711.22505     -3952.0243      557.08161    
    214000   214            736.10804     -106.17073      2.9496324     -103.2211       736.10804     -190.52878      553.80728    
    215000   215            685.57191     -105.91537      2.7471309     -103.16824      685.57191     -1322.7917      556.28125    
    216000   216            686.75826     -105.87107      2.7518846     -103.11919      686.75826     -3497.6351      558.58149    
    217000   217            743.68542     -106.18889      2.9799954     -103.2089       743.68542      1838.5351      553.29525    
    218000   218            654.07884     -105.80981      2.6209361     -103.18888      654.07884      1736.821       554.77612    
    219000   219            678.41956     -105.9694       2.718471      -103.25092      678.41956      3729.3069      552.56329    
    220000   220            870.41964     -106.58023      3.4878276     -103.0924       870.41964     -3763.7205      554.43054    
    221000   221            667.28059     -105.88218      2.6738364     -103.20835      667.28059     -1481.7944      557.4391     
    222000   222            767.60034     -106.3005       3.0758241     -103.22467      767.60034      2217.8991      551.67308    
    223000   223            687.05713     -105.96734      2.7530822     -103.21426      687.05713      2286.8471      553.84792    
    224000   224            719.09809     -106.20754      2.8814724     -103.32606      719.09809     -2385.5293      555.37855    
    225000   225            855.89354     -106.59901      3.4296206     -103.16939      855.89354     -9205.9054      557.5275     
    226000   226            611.45226     -105.71763      2.4501286     -103.2675       611.45226      3109.3231      552.7709     
    227000   227            647.62048     -105.81379      2.595057      -103.21873      647.62048      1036.7253      555.20543    
    228000   228            706.16408     -106.04562      2.829645      -103.21598      706.16408     -942.16147      554.34819    
    229000   229            605.95824     -105.73384      2.4281137     -103.30572      605.95824     -2134.7471      556.25456    
    230000   230            602.68655     -105.67419      2.4150039     -103.25919      602.68655      1441.1337      554.7168     
    231000   231            791.39265     -106.41436      3.1711614     -103.24319      791.39265     -6586.9788      556.50961    
    232000   232            650.88895     -105.83013      2.608154      -103.22198      650.88895     -1921.1223      555.59929    
    233000   233            667.16893     -105.88207      2.6733889     -103.20868      667.16893      2078.5255      552.80161    
    234000   234            826.27259     -106.48568      3.3109276     -103.17475      826.27259     -6908.6599      557.15281    
    235000   235            562.88195     -105.47         2.2555043     -103.21449      562.88195      253.93345      557.79239    
    236000   236            660.04025     -105.85746      2.6448238     -103.21264      660.04025     -1820.588       555.5896     
    237000   237            884.30366     -106.67347      3.5434618     -103.13001      884.30366     -9229.7689      556.33987    
    238000   238            665.8057      -105.87146      2.6679264     -103.20353      665.8057      -2309.1398      556.05688    
    239000   239            841.6093      -106.59056      3.3723827     -103.21817      841.6093      -5060.9428      554.47566    
    240000   240            637.12982     -105.78756      2.5530203     -103.23454      637.12982      3785.3548      553.12486    
    241000   241            618.87759     -105.64541      2.4798824     -103.16553      618.87759      727.73857      555.35826    
    242000   242            653.23537     -105.85504      2.6175563     -103.23749      653.23537      3731.3679      552.23057    
    243000   243            640.46812     -105.79874      2.566397      -103.23235      640.46812     -142.01551      556.84172    
    244000   244            727.34524     -106.19115      2.9145193     -103.27663      727.34524      1592.453       552.88322    
    245000   245            815.29967     -106.48381      3.2669584     -103.21685      815.29967     -7.0756203      552.45778    
    246000   246            590.36955     -105.52589      2.3656489     -103.16024      590.36955     -2278.0869      556.66424    
    247000   247            704.72205     -106.03535      2.8238667     -103.21148      704.72205     -4325.9765      557.40377    
    248000   248            701.26234     -106.04936      2.8100034     -103.23936      701.26234      8733.2705      549.61212    
    249000   249            622.96104     -105.8501       2.4962451     -103.35386      622.96104      3231.7906      553.00902    
    250000   250            744.1476      -106.26314      2.9818474     -103.2813       744.1476      -1394.9154      554.75956    
    251000   251            698.53814     -106.00694      2.7990874     -103.20786      698.53814     -1861.9871      555.94405    
    252000   252            723.37924     -106.16258      2.8986273     -103.26395      723.37924      1056.0126      553.04471    
    253000   253            761.3618      -106.28468      3.0508258     -103.23385      761.3618      -1055.7369      555.42478    
    254000   254            568.08237     -105.53571      2.2763427     -103.25937      568.08237      4540.0254      555.15643    
    255000   255            672.98618     -105.98577      2.696699      -103.28907      672.98618      1786.7245      554.10966    
    256000   256            673.02234     -105.96343      2.6968439     -103.26659      673.02234     -4287.4634      557.89738    
    257000   257            697.23994     -106.03464      2.7938854     -103.24075      697.23994      2719.5403      551.25113    
    258000   258            787.5346      -106.31379      3.1557019     -103.15809      787.5346       5347.4436      549.2601     
    259000   259            667.48029     -105.89072      2.6746366     -103.21608      667.48029      4665.8086      552.54452    
    260000   260            731.01837     -106.10454      2.9292378     -103.1753       731.01837     -5850.276       559.44512    
    261000   261            745.05285     -106.20613      2.9854748     -103.22065      745.05285     -3561.6623      555.82933    
    262000   262            670.8045      -105.90821      2.6879569     -103.22026      670.8045       379.26853      555.55       
