LAMMPS (23 Jun 2022 - Update 4)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 4.04525 4.04525 4.04525
Created orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  1 by 1 by 2 MPI processor grid
Created 32 atoms
  using lattice units in orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  create_atoms CPU = 0.000 seconds
Reading eam/alloy potential file ./Al_mm.eam.fs with DATE: 2007-06-11
Running simulation at Pressure: 0 Pa
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.5
  ghost atom cutoff = 8.5
  binsize = 4.25, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.221 | 3.221 | 3.221 Mbytes
   Step          Temp          Press          Volume         PotEng         KinEng         TotEng    
     12000   336.21372      5599.2083      535.14308     -108.17942      1.34723       -106.83219    
     12100   222.73756     -7354.6923      544.67259     -107.89618      0.89252377    -107.00366    
     12200   260.23628      9135.1117      533.3311      -108.06108      1.0427836     -107.0183     
     12300   249.97903     -6227.5012      545.4524      -107.73725      1.0016821     -106.73557    
     12400   357.7347       7847.1082      536.56771     -107.86213      1.433466      -106.42866    
     12500   361.04016     -9608.9994      546.64317     -107.92944      1.4467112     -106.48272    
     12600   322.4576       4565.3783      536.25493     -108.10595      1.2921084     -106.81384    
     12700   261.3302      -6292.9559      542.4488      -108.12771      1.047167      -107.08054    
     12800   268.56193      4726.5452      536.06509     -108.09926      1.076145      -107.02312    
     12900   254.31386     -3193.0962      542.80545     -107.87485      1.019052      -106.8558     
     13000   301.74472      5908.1367      537.1182      -107.84843      1.2091106     -106.63932    
     13100   291.59701     -4139.3546      544.24648     -107.73257      1.168448      -106.56412    
     13200   335.25484      3064.5418      538.38691     -108.0106       1.3433878     -106.66721    
     13300   286.30605     -5406.4132      541.84634     -108.20934      1.1472468     -107.06209    
     13400   261.81878      2853.6314      536.53977     -108.17379      1.0491247     -107.12467    
     13500   280.84371     -3035.1613      541.56222     -107.96941      1.1253589     -106.84405    
     13600   293.66941      2630.7368      539.78227     -107.76301      1.1767523     -106.58625    
     13700   325.72765     -2092.8913      542.7289      -107.8721       1.3052117     -106.56689    
     13800   302.02702      2980.5532      539.06024     -107.91721      1.2102418     -106.70697    
     13900   270.51123     -2881.9191      540.93305     -108.10171      1.0839559     -107.01776    
     14000   212.96331      2880.1708      536.16794     -108.19371      0.85335772    -107.34035    
     14100   224.4773      -3284.5445      540.24528     -108.15117      0.89949504    -107.25167    
     14200   300.44748     -25.164493      538.43371     -108.23792      1.2039124     -107.034      
     14300   318.19787     -2858.9139      541.16515     -108.11145      1.2750394     -106.83641    
     14400   287.6499       3901.3057      539.38406     -107.74565      1.1526317     -106.59302    
     14500   283.17986      325.67927      542.19088     -107.61045      1.13472       -106.47573    
     14600   333.47278     -401.15258      540.44716     -107.98573      1.3362469     -106.64948    
     14700   314.69511     -2937.2924      539.66144     -108.31246      1.2610036     -107.05145    
     14800   259.55741      455.65162      538.52172     -108.10338      1.0400633     -107.06332    
     14900   258.3548       131.894        540.23057     -107.89752      1.0352443     -106.86228    
     15000   309.55742      20.673491      540.56183     -107.92897      1.2404165     -106.68855    
     15100   336.52076     -1311.3299      541.28631     -107.9996       1.3484604     -106.65114    
     15200   313.0027       340.4091       540.60725     -107.95088      1.254222      -106.69666    
     15300   224.61581      2773.7031      539.56824     -107.7163       0.90005003    -106.81625    
     15400   232.81921     -481.73262      539.41179     -108.08482      0.9329216     -107.15189    
     15500   261.19279      265.33899      537.40134     -108.29757      1.0466163     -107.25095    
     15600   335.31417     -3680.6121      540.64252     -108.26804      1.3436255     -106.92442    
     15700   267.78855      388.62031      540.76785     -107.7749       1.073046      -106.70185    
     15800   301.82685      719.3561       540.3287      -107.87231      1.2094396     -106.66287    
     15900   285.914        619.7342       540.47629     -107.85049      1.1456758     -106.70481    
     16000   311.1591      -362.11982      539.61508     -108.13852      1.2468346     -106.89169    
     16100   228.16226      539.41198      538.76804     -108.0777       0.9142609     -107.16344    
     16200   241.051       -399.34249      538.87607     -108.10371      0.96590692    -107.1378     
     16300   283.89258      498.91538      540.65685     -107.81096      1.1375759     -106.67338    
     16400   365.23797     -2588.5432      542.10804     -107.99067      1.4635321     -106.52714    
     16500   294.66672      2459.9131      540.09638     -107.80917      1.1807485     -106.62842    
     16600   300.03533     -1303.0449      540.33269     -108.09111      1.2022609     -106.88885    
     16700   268.17711     -1141.7833      539.43356     -108.15338      1.074603      -107.07877    
     16800   275.57521      2002.6589      538.23487     -108.11679      1.1042476     -107.01255    
     16900   287.72144     -665.72933      542.40337     -107.68062      1.1529183     -106.52771    
     17000   308.82775      3561.4548      540.55516     -107.64967      1.2374927     -106.41218    
     17100   293.4526      -2720.9029      542.76351     -107.81279      1.1758835     -106.6369     
     17200   289.86014      2936.0366      537.55646     -108.09424      1.1614883     -106.93275    
     17300   286.99493     -4446.098       542.13537     -108.14384      1.1500072     -106.99383    
     17400   304.72628      3126.9457      537.71598     -108.08112      1.2210579     -106.86007    
     17500   262.91914     -3362.1417      543.37297     -107.83327      1.053534      -106.77974    
     17600   284.23633      6224.2387      537.15112     -107.84973      1.1389533     -106.71078    
     17700   264.71712     -5056.8697      544.92431     -107.73132      1.0607386     -106.67058    
     17800   349.55068      5214.8932      537.14904     -108.007        1.4006721     -106.60633    
     17900   354.71609     -8575.2983      546.08271     -108.0374       1.4213703     -106.61603    
     18000   298.8029       7100.7327      536.28598     -107.94784      1.1973225     -106.75052    
     18100   243.47784     -5605.9339      543.84415     -107.93206      0.97563141    -106.95643    
     18200   256.28623      7817.85        534.41536     -108.05223      1.0269555     -107.02527    
     18300   313.93461     -8103.9116      544.8112      -108.04729      1.2579562     -106.78933    
     18400   350.33601      5063.8826      538.46666     -107.80289      1.403819      -106.39907    
     18500   315.03577     -7205.6744      546.78017     -107.70397      1.2623687     -106.44161    
     18600   307.59554      8792.3953      535.10933     -107.94516      1.2325552     -106.71261    
     18700   277.88816     -8314.7108      545.26011     -108.0603       1.1135158     -106.94679    
     18800   323.85833      8138.0925      534.07581     -108.20864      1.2977212     -106.91092    
     18900   227.38187     -6885.7694      545.79017     -107.73651      0.91113383    -106.82537    
     19000   284.44283      9219.0501      535.31596     -107.77417      1.1397808     -106.63439    
     19100   303.24485     -8252.1547      547.56043     -107.6932       1.2151217     -106.47808    
     19200   433.58296      7783.8155      536.1978      -107.99785      1.7373949     -106.26045    
     19300   350.36029     -11944.048      549.60102     -107.79523      1.4039163     -106.39131    
     19400   281.64021      13776.585      531.93146     -107.9324       1.1285505     -106.80385    
     19500   228.39837     -11615.032      547.84237     -107.87502      0.91520702    -106.95982    
     19600   341.4337       12860.888      531.08567     -108.18866      1.3681469     -106.82052    
     19700   310.81858     -14652.677      551.40326     -107.72115      1.2454701     -106.47568    
     19800   393.22438      14002.822      533.62794     -107.73564      1.5756755     -106.15996    
     19900   281.37198     -12458.158      551.48286     -107.47894      1.1274757     -106.35147    
     20000   359.12535      14704.989      531.22116     -108.01299      1.4390384     -106.57395    
     20100   295.08169     -15494.69       550.2086      -107.9977       1.1824114     -106.81529    
     20200   285.78408      17264.374      529.08074     -107.99573      1.1451552     -106.85057    
     20300   252.20133     -13939.637      550.56588     -107.74412      1.010587      -106.73353    
     20400   347.13033      14860.848      532.75453     -107.6399       1.3909736     -106.24892    
     20500   345.25094     -16344.172      552.67857     -107.69898      1.3834428     -106.31554    
     20600   327.99933      16128.884      530.29225     -107.96889      1.3143145     -106.65457    
     20700   269.17487     -14128.303      549.55189     -107.94532      1.0786011     -106.86672    
     20800   318.72826      14373.418      530.82344     -108.08581      1.2771647     -106.80865    
     20900   304.43903     -14056.367      549.12769     -107.94029      1.2199068     -106.72038    
     21000   325.30763      13478.033      532.79021     -107.83113      1.3035287     -106.5276     
     21100   370.7963      -11908.665      552.06327     -107.46184      1.4858047     -105.97604    
     21200   348.91029      13426.114      535.31507     -107.4107       1.398106      -106.01259    
     21300   351.17735     -12666.589      549.22269     -107.86157      1.4071903     -106.45438    
     21400   311.4439       11873.034      533.14944     -107.92634      1.2479758     -106.67837    
     21500   276.28009     -10395.164      546.61154     -107.99447      1.1070721     -106.8874     
     21600   248.43501      12739.153      532.44699     -107.92883      0.99549509    -106.93333    
     21700   276.25648     -8693.0123      546.23024     -107.82416      1.1069775     -106.71719    
     21800   371.70168      7270.5798      537.3088      -107.79471      1.4894326     -106.30528    
     21900   358.57001     -8268.8308      546.68318     -107.83782      1.4368132     -106.401      
     22000   311.47657      5830.9942      536.90897     -107.96278      1.2481067     -106.71467    
     22100   273.09795     -3425.9358      542.81225     -107.93721      1.0943211     -106.84289    
     22200   324.91098      2892.4792      537.33921     -108.10443      1.3019393     -106.80249    
     22300   293.08253     -5228.0942      543.50897     -107.89754      1.1744006     -106.72314    
     22400   283.93224      5545.3447      538.45604     -107.67094      1.1377348     -106.5332     
     22500   336.38256     -3135.2854      545.59976     -107.50047      1.3479066     -106.15256    
     22600   439.97026      2571.1266      540.06838     -107.91602      1.7629892     -106.15303    
     22700   332.67776     -5020.2874      542.92255     -108.02062      1.3330612     -106.68756    
     22800   276.75382      3792.6494      537.61192     -107.93046      1.1089704     -106.82148    
     22900   236.01207     -1880.037       541.77335     -107.79953      0.9457156     -106.85381    
     23000   338.55628      1501.7182      538.4682      -108.08998      1.3566169     -106.73336    
     23100   353.47711     -3785.4393      543.67828     -107.83521      1.4164056     -106.41881    
     23200   376.74988      3168.6901      540.49315     -107.73392      1.5096611     -106.22426    
     23300   259.14325     -1553.4268      542.78292     -107.70785      1.0384037     -106.66945    
     23400   283.1349       4553.3931      536.5696      -108.07081      1.1345398     -106.93627    
     23500   300.39584     -5801.9803      542.76858     -108.10101      1.2037055     -106.89731    
     23600   349.31731      2412.1317      538.00743     -108.06838      1.399737      -106.66864    
     23700   315.78968     -4394.2005      544.94743     -107.66291      1.2653896     -106.39752    
     23800   350.54932      4616.6975      539.90127     -107.64319      1.4046737     -106.23852    
     23900   301.75374     -2145.188       543.78287     -107.7134       1.2091467     -106.50426    
     24000   301.12721      6236.7955      535.52991     -108.11869      1.2066361     -106.91206    
     24100   254.28303     -4772.6019      542.3967      -108.01766      1.0189285     -106.99873    
     24200   320.94252      2915.1028      537.34215     -108.09529      1.2860374     -106.80925    
     24300   307.77211     -6365.4306      545.3023      -107.69697      1.2332627     -106.46371    
     24400   381.72536      3020.2606      539.28052     -107.89602      1.5295981     -106.36642    
     24500   344.28563     -4058.8196      544.18791     -107.89474      1.3795747     -106.51517    
     24600   283.66794      7694.8001      536.6951      -107.80788      1.1366757     -106.67121    
     24700   256.44921     -3698.0881      543.46133     -107.83311      1.0276085     -106.8055     
     24800   282.24814      5274.6053      535.86957     -108.01274      1.1309865     -106.88176    
     24900   310.85842     -9497.0734      543.77562     -108.261        1.2456297     -107.01537    
     25000   295.55446      4929.2323      534.89583     -108.21739      1.1843058     -107.03308    
     25100   279.55691     -7577.7711      545.33799     -107.89522      1.1202026     -106.77502    
     25200   313.37442      10661.458      535.20168     -107.72457      1.2557115     -106.46886    
     25300   303.88339     -8772.6524      547.66699     -107.72639      1.2176804     -106.50871    
     25400   275.22593      13167.415      532.64905     -107.87062      1.102848      -106.76778    
     25500   247.52882     -13747.269      547.52564     -108.09971      0.99186394    -107.10785    
